evaluation,objective,C 1s_raw,La 4d_raw,O 1s_raw,Ti 2p_raw,reflectivity_raw,C 1s_weighted,La 4d_weighted,O 1s_weighted,Ti 2p_weighted,reflectivity_weighted,carbon_thickness,carbon_roughness,lno_thickness,sto_thickness,superlattice_roughness,substrate_roughness,angle_offset
3.600000000000000000e+01,1.035382621727236052e-01,1.641159716348269872e-03,5.208986986850579421e-04,3.119314416868114665e-04,8.051541613957980759e-04,7.074682199156423490e-02,1.641159716348269959e-02,5.208986986850579204e-03,3.119314416868114448e-03,8.051541613957980542e-03,7.074682199156423490e-02,1.007942708933306264e+01,2.636762151727562120e+00,2.046802244486394784e+01,1.916151030639457176e+01,4.550476330144233472e+00,4.470021469615518939e+00,-1.484827654417026632e-01
3.700000000000000000e+01,4.122855403369105748e-02,3.490507016172297557e-04,2.287394189808471343e-04,9.302018578835412983e-05,3.723123604950798822e-04,3.079732736487594824e-02,3.490507016172297340e-03,2.287394189808471343e-03,9.302018578835412983e-04,3.723123604950798714e-03,3.079732736487594824e-02,6.000000000000000000e+00,5.000000000000000000e-01,1.868974170794192702e+01,2.200000000000000000e+01,1.658989253139442344e+00,1.000000000000000000e+00,-4.621393771029247421e-02
3.800000000000000000e+01,1.435982397411230370e-02,1.818082568051613559e-04,7.918673647747882555e-05,4.402638481982849741e-05,1.684284924468657906e-04,9.625325268618959221e-03,1.818082568051613505e-03,7.918673647747882013e-04,4.402638481982849741e-04,1.684284924468657961e-03,9.625325268618959221e-03,6.000000000000000000e+00,7.707513456187577994e-01,2.200000000000000000e+01,1.974125270889015482e+01,5.000000000000000000e+00,5.000000000000000000e+00,-3.499999999999999778e-01
3.900000000000000000e+01,2.009734503482647067e-02,1.541208512112640671e-04,1.047830761494826914e-04,6.039510953453466809e-05,2.049415459636812350e-04,1.485493920623684287e-02,1.541208512112640563e-03,1.047830761494826859e-03,6.039510953453466674e-04,2.049415459636812296e-03,1.485493920623684287e-02,6.000000000000000000e+00,4.000000000000000000e+00,2.200000000000000000e+01,1.800000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,-2.060682351519294020e-03
4.000000000000000000e+01,3.692532857277511932e-02,5.385546162377329417e-04,7.990574382346667527e-05,3.746972144613856424e-05,4.324279502185890330e-05,2.993359980748315149e-02,5.385546162377329200e-03,7.990574382346668069e-04,3.746972144613856153e-04,4.324279502185890195e-04,2.993359980748315149e-02,6.000000000000000000e+00,5.000000000000000000e-01,1.800000000000000000e+01,2.051370959449671005e+01,1.000000000000000000e+00,5.000000000000000000e+00,3.499999999999999778e-01
4.100000000000000000e+01,1.790197908691815859e-02,2.164711838897996632e-04,7.230344247304368050e-05,4.046684811694335569e-05,1.732057363230574099e-04,1.287750697888971618e-02,2.164711838897996794e-03,7.230344247304368050e-04,4.046684811694335705e-04,1.732057363230574045e-03,1.287750697888971618e-02,6.000000000000000000e+00,5.000000000000000000e-01,2.136030296124764405e+01,1.870289449531736281e+01,5.000000000000000000e+00,1.676896468801705842e+00,-1.946674813659821091e-02
4.200000000000000000e+01,9.658306252516409007e-02,9.237795438476548507e-04,1.832043357545651719e-04,1.260927437437366939e-04,2.324071114571831767e-04,8.192822517713269082e-02,9.237795438476548507e-03,1.832043357545651719e-03,1.260927437437366939e-03,2.324071114571831659e-03,8.192822517713269082e-02,1.400000000000000000e+01,4.000000000000000000e+00,2.200000000000000000e+01,1.800000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,1.283257047845010046e-02
4.300000000000000000e+01,4.639486339631584966e-02,5.024364378843229704e-04,7.543963827401956891e-05,5.059626660059820044e-05,1.036543779340058348e-04,3.907359618938638368e-02,5.024364378843229270e-03,7.543963827401957162e-04,5.059626660059820180e-04,1.036543779340058430e-03,3.907359618938638368e-02,1.400000000000000000e+01,4.000000000000000000e+00,2.200000000000000000e+01,1.959991084086395929e+01,5.000000000000000000e+00,5.000000000000000000e+00,-3.499999999999999778e-01
4.400000000000000000e+01,3.037054668172506008e-02,1.697981740573592676e-04,8.403586811084304861e-05,4.409512491965461432e-05,2.002487457808233386e-04,2.538876755303825714e-02,1.697981740573592784e-03,8.403586811084305403e-04,4.409512491965461296e-04,2.002487457808233440e-03,2.538876755303825714e-02,6.000000000000000000e+00,4.000000000000000000e+00,2.048020079587387698e+01,1.924564618303615049e+01,5.000000000000000000e+00,4.006509287819509879e+00,6.531146995684705692e-02
4.500000000000000000e+01,4.772330103455423717e-02,3.234864940516271365e-04,5.485193600550222802e-04,3.463798072605474287e-04,6.349682058377062238e-04,2.918976236250520398e-02,3.234864940516271256e-03,5.485193600550222585e-03,3.463798072605474287e-03,6.349682058377062455e-03,2.918976236250520398e-02,1.400000000000000000e+01,5.000000000000000000e-01,1.800000000000000000e+01,1.993127879385104961e+01,1.000000000000000000e+00,5.000000000000000000e+00,3.499999999999999778e-01
4.600000000000000000e+01,2.323277135898655088e-01,3.487279735978071268e-03,8.076582154577305935e-04,5.071238753197865453e-04,1.200631334832377717e-03,1.723007819739858504e-01,3.487279735978071615e-02,8.076582154577306369e-03,5.071238753197865670e-03,1.200631334832377717e-02,1.723007819739858504e-01,6.000000000000000000e+00,4.000000000000000000e+00,2.200000000000000000e+01,1.800000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,-3.499999999999999778e-01
4.700000000000000000e+01,3.958740050232573138e-02,8.663657177766394659e-04,5.295245402732322879e-05,8.032847893845660977e-05,2.628955212594314209e-04,2.696197878230722697e-02,8.663657177766395309e-03,5.295245402732322608e-04,8.032847893845660977e-04,2.628955212594314209e-03,2.696197878230722697e-02,6.000000000000000000e+00,4.000000000000000000e+00,2.161692856186750689e+01,2.046103190007037753e+01,1.000000000000000000e+00,2.640395560207958958e+00,-3.499999999999999778e-01
4.800000000000000000e+01,2.271054930663517213e-02,1.709606520202526525e-04,2.810898210404362595e-04,1.803761623139488982e-04,4.107790643311522811e-04,1.227849230957727203e-02,1.709606520202526471e-03,2.810898210404362378e-03,1.803761623139488873e-03,4.107790643311523028e-03,1.227849230957727203e-02,7.603742193880025368e+00,8.883472729157468883e-01,2.200000000000000000e+01,1.885180647829722744e+01,5.000000000000000000e+00,5.000000000000000000e+00,-1.129259136904722793e-01
4.900000000000000000e+01,5.994734817942953820e-02,7.451112527854087232e-04,8.757646739041384520e-04,5.649387920512057275e-04,7.550034060396097800e-04,3.053916693162590790e-02,7.451112527854087016e-03,8.757646739041384520e-03,5.649387920512057709e-03,7.550034060396097584e-03,3.053916693162590790e-02,1.400000000000000000e+01,5.000000000000000000e-01,1.800000000000000000e+01,2.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,-1.518649815003959569e-01
5.000000000000000000e+01,4.389350744722076564e-02,1.967797053323181670e-04,3.543700800116856555e-04,1.931535787680325762e-04,6.563829533362339078e-04,2.988664427273806518e-02,1.967797053323181670e-03,3.543700800116856772e-03,1.931535787680325762e-03,6.563829533362338861e-03,2.988664427273806518e-02,6.000000000000000000e+00,5.000000000000000000e-01,1.951362846399733186e+01,2.090344423298027365e+01,5.000000000000000000e+00,5.000000000000000000e+00,9.736344932314788814e-03
5.100000000000000000e+01,4.484262804454568208e-02,1.749829127333283837e-04,1.889804957719169243e-04,1.039144270640352262e-04,3.286260378147116425e-04,3.687758931070576202e-02,1.749829127333283729e-03,1.889804957719169298e-03,1.039144270640352235e-03,3.286260378147116534e-03,3.687758931070576202e-02,1.060911942805406483e+01,5.997251298618324622e-01,1.800000000000000000e+01,2.050794410133016399e+01,5.000000000000000000e+00,4.140141471839960730e+00,3.499999999999999778e-01
5.200000000000000000e+01,6.254113571196930066e-02,6.566356268029301200e-04,4.615883654716133400e-04,2.580165069813435889e-04,7.115882788914642621e-04,4.166284793049579438e-02,6.566356268029300766e-03,4.615883654716133183e-03,2.580165069813435998e-03,7.115882788914642404e-03,4.166284793049579438e-02,6.000000000000000000e+00,5.000000000000000000e-01,2.042084274656508214e+01,2.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,-3.499999999999999778e-01
5.300000000000000000e+01,2.755894393310692400e-02,3.358605895055902842e-04,5.917507392238083910e-05,2.120934450560455148e-05,7.110131017517277345e-05,2.268548075201944070e-02,3.358605895055902842e-03,5.917507392238084045e-04,2.120934450560455148e-04,7.110131017517277345e-04,2.268548075201944070e-02,6.000000000000000000e+00,5.000000000000000000e-01,1.868016797018247743e+01,1.991781306049977118e+01,1.000000000000000000e+00,1.933934656466482771e+00,3.499999999999999778e-01
5.400000000000000000e+01,2.495235789523482170e-02,5.191334048661644298e-04,5.362427367841903191e-05,3.357908939579752540e-05,9.518889093555937461e-05,1.793710130647541839e-02,5.191334048661644732e-03,5.362427367841903327e-04,3.357908939579752269e-04,9.518889093555937733e-04,1.793710130647541839e-02,6.000000000000000000e+00,5.000000000000000000e-01,1.958507148400351738e+01,1.983113663555554140e+01,1.000000000000000000e+00,4.611037972086348802e+00,1.238667092724229923e-01
5.500000000000000000e+01,2.220994550601699397e-02,2.006556032105206186e-04,6.879049022253355716e-05,6.289747327712872781e-05,1.580321275808259840e-04,1.730618856310690498e-02,2.006556032105206132e-03,6.879049022253355987e-04,6.289747327712872510e-04,1.580321275808259894e-03,1.730618856310690498e-02,6.000000000000000000e+00,5.000000000000000000e-01,2.172636330737657318e+01,1.951655723397257702e+01,1.000000000000000000e+00,1.000000000000000000e+00,-2.152586805170967621e-01
5.600000000000000000e+01,3.279910832530411741e-02,6.240314565002737148e-04,8.096420735784705847e-05,4.596472168845328336e-05,6.110355945680358443e-05,2.467846887527033739e-02,6.240314565002737582e-03,8.096420735784705305e-04,4.596472168845328336e-04,6.110355945680358714e-04,2.467846887527033739e-02,6.000000000000000000e+00,5.000000000000000000e-01,1.860939811386568365e+01,2.034264606949972531e+01,1.000000000000000000e+00,4.943913312794068204e+00,2.309075307298271706e-01
5.700000000000000000e+01,3.634841584508077122e-02,5.598721982951586091e-04,1.227584831832632224e-04,5.410501669160976211e-05,8.575714761269012307e-05,2.812348738725355471e-02,5.598721982951585657e-03,1.227584831832632169e-03,5.410501669160976482e-04,8.575714761269012578e-04,2.812348738725355471e-02,6.000000000000000000e+00,5.000000000000000000e-01,1.800000000000000000e+01,2.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,3.427265330804968313e-02
5.800000000000000000e+01,2.444562653728627605e-02,9.625939831347960982e-04,3.909354476102387471e-05,8.269886784849982369e-05,1.505232527924307416e-04,1.209653005191877080e-02,9.625939831347960982e-03,3.909354476102387200e-04,8.269886784849982912e-04,1.505232527924307362e-03,1.209653005191877080e-02,6.000000000000000000e+00,4.000000000000000000e+00,2.200000000000000000e+01,1.845562353242591769e+01,1.000000000000000000e+00,1.000000000000000000e+00,-6.622168234179892643e-02
5.900000000000000000e+01,2.496128056289390398e-02,3.195529809074903983e-04,7.877550453867859456e-05,5.718664830063727210e-05,1.003175534151058105e-04,1.940295369127478450e-02,3.195529809074904200e-03,7.877550453867859185e-04,5.718664830063727210e-04,1.003175534151058050e-03,1.940295369127478450e-02,1.400000000000000000e+01,5.000000000000000000e-01,2.046956135357740436e+01,2.126931848277675030e+01,1.000000000000000000e+00,5.000000000000000000e+00,-3.499999999999999778e-01
